"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","15.4","B","","","1"
"2009","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.2","B","","","1"
"2010","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.3","B","","","1"
"2011","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.1","C","","","1"
"2012","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","15.1","C","","","1"
"2013","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.1","C","","","1"
"2014","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","13.7","C","","","1"
"2015","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","16.2","C","","","1"
"2016","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.0","C","","","1"
"2017","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.4","B","","","1"
"2018","Quebec","2016A000224","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518274","7.1.1.2","14.0","B","","","1"
"2015","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","13.7","C","","","1"
"2016","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","10.9","C","","","1"
"2017","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","10.8","C","","","1"
"2018","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","9.7","C","","","1"
"1976","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.1","","","","1"
"1977","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.3","","","","1"
"1978","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.4","","","","1"
"1979","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.7","","","","1"
"1980","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.1","","","","1"
"1981","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.7","","","","1"
"1982","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.9","","","","1"
"1983","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.5","","","","1"
"1984","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.1","","","","1"
"1985","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.4","","","","1"
"1986","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.6","","","","1"
"1987","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.3","","","","1"
"1988","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.1","","","","1"
"1989","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","10.7","","","","1"
"1990","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.2","","","","1"
"1991","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.1","","","","1"
"1992","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","11.9","","","","1"
"1993","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.3","C","","","1"
"1994","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.1","B","","","1"
"1995","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.5","B","","","1"
"1996","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.0","B","","","1"
"1997","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.8","B","","","1"
"1998","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.1","C","","","1"
"1999","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","11.8","C","","","1"
"2000","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.2","C","","","1"
"2001","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.5","C","","","1"
"2002","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.0","C","","","1"
"2003","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.1","C","","","1"
"2004","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.4","C","","","1"
"2005","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.5","C","","","1"
"2006","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.6","C","","","1"
"2007","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.0","C","","","1"
"2008","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.2","C","","","1"
"2009","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.3","C","","","1"
"2010","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.0","C","","","1"
"2011","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.4","C","","","1"
"2012","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","14.0","C","","","1"
"2013","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.0","C","","","1"
"2014","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","12.5","C","","","1"
"2015","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","15.4","C","","","1"
"2016","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.4","C","","","1"
"2017","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.1","C","","","1"
"2018","Quebec","2016A000224","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518322","7.5.1.2","13.0","C","","","1"
"2015","Quebec","2016A000224","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132819","7.5.6.2","13.7","C","","","1"
"2016","Quebec","2016A000224","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132819","7.5.6.2","11.0","C","","","1"
"2017","Quebec","2016A000224","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132819","7.5.6.2","10.7","C","","","1"
"2018","Quebec","2016A000224","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132819","7.5.6.2","9.6","C","","","1"
"1976","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.6","","","","1"
"1977","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","17.3","","","","1"
"1978","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.0","","","","1"
"1979","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.4","","","","1"
"1980","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","17.3","","","","1"
"1981","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.7","","","","1"
"1982","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.1","","","","1"
"1983","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.6","","","","1"
"1984","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.3","","","","1"
"1985","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.8","","","","1"
"1986","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.6","","","","1"
"1987","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.9","","","","1"
"1988","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.3","","","","1"
"1989","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","13.5","","","","1"
"1990","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.5","","","","1"
"1991","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.7","","","","1"
"1992","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.8","","","","1"
"1993","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.8","B","","","1"
"1994","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.8","B","","","1"
"1995","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.9","B","","","1"
"1996","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.1","B","","","1"
"1997","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.7","B","","","1"
"1998","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.6","C","","","1"
"1999","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.4","B","","","1"
"2000","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.7","C","","","1"
"2001","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.2","C","","","1"
"2002","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.4","C","","","1"
"2003","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.6","C","","","1"
"2004","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","13.7","C","","","1"
"2005","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.6","C","","","1"
"2006","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.0","C","","","1"
"2007","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.2","C","","","1"
"2008","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.5","C","","","1"
"2009","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.1","C","","","1"
"2010","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.7","C","","","1"
"2011","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.7","C","","","1"
"2012","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","16.3","C","","","1"
"2013","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.2","C","","","1"
"2014","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.0","C","","","1"
"2015","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","17.0","C","","","1"
"2016","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","14.7","C","","","1"
"2017","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.7","C","","","1"
"2018","Quebec","2016A000224","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518370","7.9.1.2","15.1","C","","","1"
"2015","Quebec","2016A000224","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132831","7.9.6.2","13.8","C","","","1"
"2016","Quebec","2016A000224","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132831","7.9.6.2","10.9","C","","","1"
"2017","Quebec","2016A000224","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132831","7.9.6.2","10.8","C","","","1"
"2018","Quebec","2016A000224","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132831","7.9.6.2","9.9","C","","","1"
"1976","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.5","","","","1"
"1977","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","11.1","","","","1"
"1978","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.8","","","","1"
"1979","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","11.2","","","","1"
"1980","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.5","","","","1"
"1981","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.4","","","","1"
"1982","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.9","","","","1"
"1983","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.4","","","","1"
"1984","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.6","","","","1"
"1985","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","8.8","","","","1"
"1986","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","8.2","","","","1"
"1987","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","7.4","","","","1"
"1988","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","7.5","","","","1"
"1989","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","7.1","","","","1"
"1990","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","8.3","","","","1"
"1991","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","8.7","","","","1"
"1992","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.0","","","","1"
"1993","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.1","C","","","1"
"1994","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","8.9","B","","","1"
"1995","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.5","B","","","1"
"1996","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.9","B","","","1"
"1997","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.5","B","","","1"
"1998","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.6","C","","","1"
"1999","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.0","B","","","1"
"2000","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.1","C","","","1"
"2001","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","9.9","C","","","1"
"2002","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.9","C","","","1"
"2003","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","10.9","C","","","1"
"2004","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","12.3","C","","","1"
"2005","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","11.7","B","","","1"
"2006","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.1","B","","","1"
"2007","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.0","C","","","1"
"2008","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","12.9","B","","","1"
"2009","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.7","B","","","1"
"2010","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.3","C","","","1"
"2011","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.2","C","","","1"
"2012","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","14.5","B","","","1"
"2013","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","14.2","C","","","1"
"2014","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.8","C","","","1"
"2015","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","14.3","B","","","1"
"2016","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","13.7","B","","","1"
"2017","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","12.7","B","","","1"
"2018","Ontario","2016A000235","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518682","8.1.1.2","12.4","B","","","1"
"2015","Ontario","2016A000235","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132909","8.1.6.2","15.1","B","","","1"
"2016","Ontario","2016A000235","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132909","8.1.6.2","13.6","B","","","1"
"2017","Ontario","2016A000235","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132909","8.1.6.2","12.2","B","","","1"
"2018","Ontario","2016A000235","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132909","8.1.6.2","11.6","B","","","1"
"1976","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.3","","","","1"
"1977","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.6","","","","1"
"1978","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.2","","","","1"
"1979","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.5","","","","1"
"1980","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.9","","","","1"
"1981","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","7.8","","","","1"
"1982","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.8","","","","1"
"1983","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.1","","","","1"
"1984","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.7","","","","1"
"1985","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","7.9","","","","1"
"1986","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","7.3","","","","1"
"1987","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","7.0","","","","1"
"1988","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","6.5","","","","1"
"1989","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","6.4","","","","1"
"1990","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","7.3","","","","1"
"1991","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","7.9","","","","1"
"1992","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.7","","","","1"
"1993","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.4","C","","","1"
"1994","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.6","C","","","1"
"1995","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","8.9","C","","","1"
"1996","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","10.3","B","","","1"
"1997","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","10.0","B","","","1"
"1998","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.9","C","","","1"
"1999","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.5","C","","","1"
"2000","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.2","C","","","1"
"2001","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","9.2","C","","","1"
"2002","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","10.1","C","","","1"
"2003","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","10.1","C","","","1"
"2004","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","11.5","C","","","1"
"2005","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","11.2","C","","","1"
"2006","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","12.4","C","","","1"
"2007","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","12.4","C","","","1"
"2008","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","12.0","C","","","1"
"2009","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","13.1","C","","","1"
"2010","Ontario","2016A000235","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96518730","8.5.1.2","12.3","C","","","1"
